scheme,fold,roc_auc_val
RSKF5x2,1,0.516802414156803
RSKF5x2,2,0.5224325168951912
RSKF5x2,3,0.5004785343177468
RSKF5x2,4,0.5190355856680706
RSKF5x2,5,0.4973643410852713
RSKF5x2,6,0.489694421657096
RSKF5x2,7,0.5270274229462089
RSKF5x2,8,0.5254209148794875
RSKF5x2,9,0.48802539217481533
RSKF5x2,10,0.5110346090459623
SKF5_rs2024,1,0.4966771162936052
SKF5_rs2024,2,0.4892842493847416
SKF5_rs2024,3,0.5245566233055978
SKF5_rs2024,4,0.48243667216016606
SKF5_rs2024,5,0.48286882744308124
SKF5_rs42,1,0.516802414156803
SKF5_rs42,2,0.5224325168951912
SKF5_rs42,3,0.5004785343177468
SKF5_rs42,4,0.5190355856680706
SKF5_rs42,5,0.4973643410852713
