scheme,fold,roc_auc_val
RSKF5x2,1,0.5075782240843132
RSKF5x2,2,0.49572442581162396
RSKF5x2,3,0.48548248099116237
RSKF5x2,4,0.49405812993284387
RSKF5x2,5,0.4870518964974803
RSKF5x2,6,0.4996017530972357
RSKF5x2,7,0.5043854870027612
RSKF5x2,8,0.4980968561060628
RSKF5x2,9,0.48225688295642893
RSKF5x2,10,0.4906676562519335
SKF5_rs2024,1,0.5007240161305236
SKF5_rs2024,2,0.49096557869610397
SKF5_rs2024,3,0.4965498470966688
SKF5_rs2024,4,0.506353476091486
SKF5_rs2024,5,0.48062984576298506
SKF5_rs42,1,0.5075782240843132
SKF5_rs42,2,0.49572442581162396
SKF5_rs42,3,0.48548248099116237
SKF5_rs42,4,0.49405812993284387
SKF5_rs42,5,0.4870518964974803
